ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN
11,Khirbet Jabaris - Ruins of Jabaris,Archaeological,Tubas,Low,Youth,Adventure,"Khirbet Jabaris is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,15,خربة جبّاريس - آثار جبّاريس,"خربة جبّاريس هي خربة فلسطينية أثرية ومنطقة طبيعية ساحرة تقع في محافظة طوباس بالأغوار الشمالية، وتضم قرابة 50 مبنىً أثرياً محفوظاً بشكل جيد يحتوي على بقايا أعمدة، وأقواس، ومدافن منقورة في الصخر، وبرك مياه مقصورة . كما يقع في مركزها هيكل ""بازيليكا"" مرصوف بالفسيفساء يعود إلى الفترة الرومانية أو البيزنطية . وإلى جانب قيمتها الأثرية، تتميز بطبيعة خلابة وتنوع حيوي وتُعد موطناً لنباتات نادرة مثل ""سوسنة الشفا"" الفلسطينية."," Governorate within the Northern Jordan Valley. It stands about 300 meters above sea level and covers an area of 12 dunams. Situated east of Tayasir, the site contains around 50 well-preserved ancient structures featuring remnants of columns, arches, rock-cut tombs, and plastered water pools. At its center lies a mosaic-paved ""basilica"" structure likely dating back to the Roman or Byzantine period. In addition to its historical significance, the area boasts breathtaking nature and rich biodiversity, serving as a habitat for rare plants like the Palestinian ""Shfa Iris"" (Iris haynei)."
12,Khirbat al Ghurur,Archaeological,Tubas,Low,Youth,Adventure,"Khirbat al-Ghurur is an archaeological ruin site in the Tubas governorate, with limited detailed public documentation of its history.",32.323439,35.369366,OpenStreetMap Photon (city centroid fallback),City-level,10,خربة الغرور,"الموقع عبارة عن بقايا معسكر للجيش الروماني مصمم بشكل شبه منحرف، ويحيطه سور يبلغ سمكه حوالي 1.5 متر. ينقسم المعسكر من الداخل إلى أحياء تفصل بينها شوارع منظمة، ويضم غرفاً سكنية، وآباراً، وصهاريج مياه، بالإضافة إلى بقايا برج مربع من الجهة الغربية. تشير المكتشفات الفخارية في الموقع إلى أن تاريخه يعود إلى الفترة الرومانية المتأخرة (القرنين الثاني والثالث الميلادي)، وتتميز المنطقة المحيطة به بوجود طريق رومانية قديمة ومخاضة أبو سدرة إلى الجنوب الشرقي منها.","Khirbet al-Gharur is a notable historical and archaeological site located in the Tubas Governorate, about 1 kilometer west of the Jordan Valley in the West Bank. The site primarily consists of the remains of a Roman military camp laid out in a trapezoidal shape and enclosed by a 1.5-meter-thick stone wall. Inside, the camp is divided into quarters separated by organized streets, featuring residential rooms, water cisterns, wells, and the remains of a square defensive tower on its western side. Pottery evidence indicates that the fortress dates back to the Late Roman period (2nd to 3rd century AD). The surrounding area is also marked by an ancient Roman road and the Makhadat Abu Sidra (ford) to its southeast"
13,Jenin Visitor's Center,Museum,Jenin,Medium,Family,Cultural,The Jenin Visitor's Center provides information and orientation for tourists exploring the city of Jenin and its surrounding sites.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,60,مركز زوار جنين,يقدم مركز زوار جنين معلومات وإرشادات للسياح الراغبين باستكشاف المدينة والمواقع المحيطة بها.,The Jenin Visitor's Center provides information and orientation for tourists exploring the city of Jenin and its surrounding sites.
14,Fatima Khatun School,Historic Old City,Jenin,Low,All,Cultural,"Fatima Khatun School is a historic Islamic educational institution in Jenin, part of a complex associated with a Mamluk or Ottoman-era benefactress.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,10,مدرسة فاطمة خاتون,"مدرسة فاطمة خاتون مؤسسة تعليمية إسلامية تاريخية في جنين، جزء من مجمع يُنسب لإحدى المحسنات في العهد المملوكي أو العثماني.","Fatima Khatun School is a historic Islamic educational institution in Jenin, part of a complex associated with a Mamluk or Ottoman-era benefactress."
15,"Fatima Khatun Mosque (Jenin Grand Mosque, The Great Mosque)",Religious,Jenin,Medium,All,Religious,"The Fatima Khatun Mosque, also known as the Jenin Grand Mosque, is the city's main historic mosque, part of a religious and educational endowment complex.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,30,مسجد فاطمة خاتون (الجامع الكبير في جنين),"مسجد فاطمة خاتون، المعروف أيضاً بالجامع الكبير في جنين، هو المسجد التاريخي الرئيسي في المدينة وجزء من مجمع ديني وتعليمي.","The Fatima Khatun Mosque, also known as the Jenin Grand Mosque, is the city's main historic mosque, part of a religious and educational endowment complex."
16,"Burqin Church (Saint George, Church of the Ten Lepers)",Religious,Jenin,Medium,All,Religious,"Burqin Church (St. George, Church of the Ten Lepers), in the village of Burqin near Jenin, is regarded as one of the oldest churches in the world, built at the traditional site where Jesus healed ten lepers.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,25,"كنيسة برقين (القديس جاورجيوس، كنيسة العشرة البرص)","كنيسة برقين، الواقعة في قرية برقين قرب جنين، تُعد من أقدم الكنائس في العالم، وبُنيت على الموقع الذي يُعتقد أن المسيح شفى فيه عشرة من البرص.","Burqin Church (St. George, Church of the Ten Lepers), in the village of Burqin near Jenin, is regarded as one of the oldest churches in the world, built at the traditional site where Jesus healed ten lepers."
17,The Freedom Theater,Family/Recreational,Jenin,Medium,Youth,Family,"The Freedom Theatre, in the Jenin refugee camp, is a well-known community theatre and cultural center founded to give young Palestinians a creative outlet through drama and the arts.",32.463367,35.287232,OpenStreetMap Photon,Matched,35,مسرح الحرية,"مسرح الحرية في مخيم جنين مركز ثقافي ومسرحي مجتمعي معروف، تأسس ليمنح الشباب الفلسطيني منفذاً إبداعياً عبر الدراما والفنون.","The Freedom Theatre, in the Jenin refugee camp, is a well-known community theatre and cultural center founded to give young Palestinians a creative outlet through drama and the arts."
18,Iraqi Army Martyrs Cemetery,Historic Old City,Jenin,Medium,All,Cultural,The Iraqi Army Martyrs Cemetery in Jenin honors Iraqi soldiers who fought in the 1948 Arab-Israeli war.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,40,مقبرة شهداء الجيش العراقي,تكرّم مقبرة شهداء الجيش العراقي في جنين الجنود العراقيين الذين شاركوا في حرب 1948.,The Iraqi Army Martyrs Cemetery in Jenin honors Iraqi soldiers who fought in the 1948 Arab-Israeli war.
19,The German Memorial,Historic Old City,Jenin,Low,All,Cultural,The German Memorial in Jenin commemorates German nationals or a German-linked historical episode connected to the area; visitors should verify specific historical context locally.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,15,النصب التذكاري الألماني,النصب التذكاري الألماني في جنين يُخلّد رعايا ألمان أو حدثاً تاريخياً مرتبطاً بألمانيا في المنطقة؛ يُنصح بالتحقق من السياق التاريخي محلياً.,The German Memorial in Jenin commemorates German nationals or a German-linked historical episode connected to the area; visitors should verify specific historical context locally.
20,Sheikh Sabi's Shrine,Religious,Jenin,Medium,All,Religious,"Sheikh Sabi's Shrine is a local Islamic shrine (maqam) in the Jenin area, venerated by area residents.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,55,مقام الشيخ صابي,"مقام الشيخ صابي هو مقام إسلامي محلي في منطقة جنين، يحظى بتقدير أهالي المنطقة.","Sheikh Sabi's Shrine is a local Islamic shrine (maqam) in the Jenin area, venerated by area residents."
21,Jenin Museum of Folklore,Museum,Jenin,High,Family,Cultural,"The Jenin Museum of Folklore showcases traditional Palestinian rural life, costumes, and crafts from the Jenin district.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,115,متحف جنين للفنون الشعبية,يعرض متحف جنين للفنون الشعبية الحياة الريفية الفلسطينية التقليدية والأزياء والحرف اليدوية من محافظة جنين.,"The Jenin Museum of Folklore showcases traditional Palestinian rural life, costumes, and crafts from the Jenin district."
22,Khirbat Bal'ame,Archaeological,Jenin,Low,Youth,Adventure,"Khirbat Bal'ame, near Jenin, is an important archaeological tell (mound) with remains spanning the Bronze Age through later periods, including an ancient underground water tunnel system.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,5,خربة بلعمة,"خربة بلعمة قرب جنين موقع أثري مهم (تل) يضم بقايا تمتد من العصر البرونزي حتى فترات لاحقة، بما في ذلك نظام نفق مائي قديم تحت الأرض.","Khirbat Bal'ame, near Jenin, is an important archaeological tell (mound) with remains spanning the Bronze Age through later periods, including an ancient underground water tunnel system."
23,Church of Visitation,Religious,Jenin,Medium,All,Religious,"The Church of the Visitation, near Jenin, commemorates the biblical visit of Mary to her cousin Elizabeth.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,40,كنيسة الزيارة,كنيسة الزيارة قرب جنين تُخلّد زيارة مريم العذراء التوراتية لابنة عمها أليصابات.,"The Church of the Visitation, near Jenin, commemorates the biblical visit of Mary to her cousin Elizabeth."
24,Khirbat Kharruba (Ruin),Archaeological,Jenin,Low,Youth,Adventure,"Khirbat Kharruba is an archaeological ruin site in the Jenin governorate, with limited detailed public documentation of its history.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,0,خربة خروبة (خربة),"إذا كنت تبحث عن إطلالة تجمع بين عبق التاريخ وسحر مرج ابن عامر، فإن خربة خروبة المتربعة على هضبة شمال جنين هي وجهتك المثالية لتأمل الماضي. تأخذك الخربة في رحلة عبر الزمن لاستكشاف بقايا برج أثري ذي قاعدة مائلة، وجدران عتيقة تختبئ بينها مدافن صخرية، وكهوف، وصهاريج مياه قديمة تروي حكاية حضارات استوطنت هذا المرتفع الاستراتيجي. زيارة هذا الموقع تمنحك فرصة فريدة للابتعاد عن صخب المدينة، والتمتع بنزهة هادئة وسط الطبيعة، والتقاط صور مذهلة توثق التداخل الرائع بين الآثار المنسية والمساحات الخضراء الممتدة.","If you are looking for a view that combines the whispers of history with the breathtaking charm of the Marj Ibn Amer valley, Khirbet Kharuba, perched on a scenic hill north of Jenin, is your ideal destination. This hidden archaeological gem invites travelers on a journey through time to explore the remains of an ancient watchtower with a sloped base, historical walls, rock-cut tombs, caves, and ancient water cisterns. A visit to Khirbet Kharuba offers a perfect peaceful escape from the bustling city, allowing you to enjoy a relaxing walk through nature and capture stunning photographs where timeless ruins seamlessly blend with sweeping green landscapes."
25,The shrine of the prophet Ilyas,Religious,Qalqilya,Medium,All,Religious,The Shrine of the Prophet Ilyas (Elijah) is a local Islamic shrine in the Qalqilya area venerated in connection with the prophet Elijah.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,25,مقام النبي إلياس,مقام النبي إلياس مقام إسلامي محلي في منطقة قلقيلية يُبجَّل ارتباطاً بالنبي إلياس.,The Shrine of the Prophet Ilyas (Elijah) is a local Islamic shrine in the Qalqilya area venerated in connection with the prophet Elijah.
26,The prophet Simeon (son of Jacob),Historic Old City,Qalqilya,Low,All,Cultural,The shrine of the Prophet Simeon (son of Jacob) is a local Islamic and biblical shrine in the Qalqilya area associated with the biblical patriarch's son Simeon.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,5,النبي شمعون (ابن يعقوب),مقام النبي شمعون (ابن يعقوب) مقام إسلامي وتوراتي محلي في منطقة قلقيلية يرتبط بابن النبي يعقوب.,The shrine of the Prophet Simeon (son of Jacob) is a local Islamic and biblical shrine in the Qalqilya area associated with the biblical patriarch's son Simeon.
27,Khirbat Sufin (Ruin),Archaeological,Qalqilya,Low,Youth,Adventure,"Khirbat Sufin is an archaeological ruin site in the Qalqilya governorate, with limited detailed public documentation of its history.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,20,خربة سوفين (خربة),"إذا كنت تبحث عن رحلة تجمع بين سحر التاريخ وعراقة الجذور، فإن حي وخربة صوفين عند مدخل قلقيلية الشرقي هي وجهتك المثالية. تتربع الخربة على تلة خضراء تمنحك إطلالة بانورامية رائعة، وتخفي بين جنباتها أسراراً تعود إلى العهد الروماني؛ حيث يمكنك استكشاف الكهوف الغامضة، والمدافن الصخرية القديمة، والأرضيات الفسيفسائية الملونة التي تروي حكاية قرون مضت. هنا، تلتقي حكايات القلاع العثمانية المندثرة بالحياة الحديثة النابضة، مما يجعلها محطة استثنائية لعشاق الاستكشاف والتصوير الفوتوغرافي الذين يبحثون عن قصص لم تروَ بعد.","If you are searching for a journey that seamlessly blends the charm of ancient history with deep cultural roots, Khirbet Sufin, perched at the eastern gateway of Qalqilya, is your perfect destination. Nestled atop a scenic, rolling hill that offers breathtaking panoramic views, this hidden gem preserves secrets dating back to the Roman era. Here, adventurous travelers can explore mysterious caves, intricate rock-cut tombs, and beautiful mosaic floors that tell stories of centuries past. Khirbet Sufin is a captivating stop for history buffs, hikers, and photographers looking to capture the haunting beauty of a lost Ottoman-era fortress reborn into a vibrant, modern neighborhood."
28,The site of the prophet Yameen,Historic Old City,Qalqilya,Low,All,Cultural,"The site of the Prophet Yameen (Benjamin) is a local shrine in the Qalqilya area associated with the biblical patriarch's youngest son, Benjamin.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,0,موقع النبي يامين,موقع النبي يامين (بنيامين) مقام محلي في منطقة قلقيلية يرتبط بابن النبي يعقوب الأصغر.,"The site of the Prophet Yameen (Benjamin) is a local shrine in the Qalqilya area associated with the biblical patriarch's youngest son, Benjamin."
29,The Zoo,Family/Recreational,Qalqilya,High,Family,Family,"The Qalqilya Zoo is a small municipal zoo, notable as one of the few zoos in the Palestinian territories, popular with families.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,145,حديقة الحيوان,"حديقة حيوان قلقيلية حديقة بلدية صغيرة، وتُعد من الحدائق القليلة في الأراضي الفلسطينية، وهي محببة للعائلات.","The Qalqilya Zoo is a small municipal zoo, notable as one of the few zoos in the Palestinian territories, popular with families."
30,Mosque of Ali Ibn Abi Talib,Religious,Qalqilya,Medium,All,Religious,The Mosque of Ali Ibn Abi Talib is a local mosque in Qalqilya named after the fourth Islamic caliph and cousin of the Prophet Muhammad.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,55,مسجد علي بن أبي طالب,مسجد علي بن أبي طالب مسجد محلي في قلقيلية سمي باسم الخليفة الرابع وابن عم النبي محمد.,The Mosque of Ali Ibn Abi Talib is a local mosque in Qalqilya named after the fourth Islamic caliph and cousin of the Prophet Muhammad.
31,The shrine of the sons of al-Awwam,Religious,Qalqilya,Medium,All,Religious,The shrine of the sons of al-Awwam is a local Islamic shrine in the Qalqilya area.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,40,مقام أبناء العوام,مقام أبناء العوام مقام إسلامي محلي في منطقة قلقيلية.,The shrine of the sons of al-Awwam is a local Islamic shrine in the Qalqilya area.
32,The old town of Jinsafut,Historic Old City,Qalqilya,Low,All,Cultural,"The old town of Jinsafut, in the Qalqilya governorate, retains historic Ottoman-era architecture and a traditional village core.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,10,بلدة جنصافوط القديمة,تحتفظ بلدة جنصافوط القديمة في محافظة قلقيلية بعمارة عثمانية تاريخية وطابع قروي تقليدي.,"The old town of Jinsafut, in the Qalqilya governorate, retains historic Ottoman-era architecture and a traditional village core."
33,The Roman Pools - Sanniriya,Archaeological,Qalqilya,Low,Youth,Adventure,"The Roman Pools at Sanniriya, in the Qalqilya governorate, are ancient water reservoirs dating to the Roman period.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,20,البرك الرومانية - سنيريا,البرك الرومانية في سنيريا بمحافظة قلقيلية خزانات مياه قديمة تعود للعصر الروماني.,"The Roman Pools at Sanniriya, in the Qalqilya governorate, are ancient water reservoirs dating to the Roman period."
34,The Shrine of Jacob's Daughters,Religious,Tulkarm,Medium,All,Religious,The Shrine of Jacob's Daughters is a local Islamic and biblical shrine in the Tulkarm governorate.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,55,مقام بنات يعقوب,مقام بنات يعقوب مقام إسلامي وتوراتي محلي في محافظة طولكرم.,The Shrine of Jacob's Daughters is a local Islamic and biblical shrine in the Tulkarm governorate.
35,Shufa Village,Historic Old City,Tulkarm,Low,Family,Cultural,"Shufa Village, in the Tulkarm governorate, is a small Palestinian village known for its traditional agricultural landscape.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,10,قرية شوفة,قرية شوفة في محافظة طولكرم قرية فلسطينية صغيرة تشتهر بمناظرها الزراعية التقليدية.,"Shufa Village, in the Tulkarm governorate, is a small Palestinian village known for its traditional agricultural landscape."
36,Tel Al-Ras - Shuweika,Archaeological,Tulkarm,Low,Youth,Adventure,"Tel Al-Ras, in Shuweika near Tulkarm, is an archaeological mound (tell) containing remains from multiple historical periods.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,5,تل الراس - شويكة,تل الراس في شويكة قرب طولكرم تل أثري يضم بقايا من عدة فترات تاريخية.,"Tel Al-Ras, in Shuweika near Tulkarm, is an archaeological mound (tell) containing remains from multiple historical periods."
37,Roman stone quarry - Beit Lid,Archaeological,Tulkarm,Low,Youth,Adventure,"The Roman stone quarry at Beit Lid, in the Tulkarm governorate, contains remains of ancient stone-cutting activity from the Roman period.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,15,المحجر الروماني - بيت ليد,المحجر الروماني في بيت ليد بمحافظة طولكرم يحتوي على بقايا نشاط قطع الحجارة القديم من العصر الروماني.,"The Roman stone quarry at Beit Lid, in the Tulkarm governorate, contains remains of ancient stone-cutting activity from the Roman period."
38,Al-Bad - Beit Lid,Historic Old City,Tulkarm,Low,All,Cultural,Al-Bad (traditional olive press) in Beit Lid is a historic stone olive-oil pressing facility reflecting the region's long agricultural heritage.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,0,البدّ - بيت ليد,البدّ (معصرة الزيتون التقليدية) في بيت ليد منشأة حجرية تاريخية لعصر زيت الزيتون تعكس التراث الزراعي العريق للمنطقة.,Al-Bad (traditional olive press) in Beit Lid is a historic stone olive-oil pressing facility reflecting the region's long agricultural heritage.
39,Khirbet Samara,Archaeological,Tulkarm,Low,Youth,Adventure,"Khirbet Samara is an archaeological ruin site in the Tulkarm governorate, with limited detailed public documentation of its history.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,10,خربة سامرة,"لعشاق سياحة الصمود والمغامرات الاستكشافية في قلب الأغوار الساحرة، تمنحك خربة سامرة الواقعة جنوب شرق وادي المالح تجربة استثنائية لا تُنسى. هنا، يتجلى جمال الحياة البدوية البسيطة والودية وسط التلال الممتدة والمراعي المفتوحة. تُعد الخربة محطة ملهمة للمسارات البيئية ومحبي الهايكنج الذين يبحثون عن معايشة حقيقية للطبيعة البكر، والتعرف على قصص التشبث بالأرض، واستنشاق الهواء النقي بعيداً تماماً عن قيود المدينة وصخبها","Khirbet Samara is an archaeological ruin site in the Tulkarm governorate, with limited detailed public documentation of its history."
40,Khirbet Beit Jafa,Archaeological,Tulkarm,Low,Youth,Adventure,"Khirbet Beit Jafa is an archaeological ruin site in the Tulkarm governorate, with limited detailed public documentation of its history.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,5,خربة بيت جفا,"إذا كنت تبحث عن مغامرة بيئية فريدة تأخذك إلى قلب الطبيعة الساحرة والتاريخ المنسي، فإن خربة بيت جفا المتربعة إلى الجنوب الشرقي من قرية كفر عبوش بمحافظة طولكرم هي ملاذك الأمثل. تنتشر في هذه الخربة العتيقة بقايا معمارية مذهلة تروي حكايات العهود الرومانية والبيزنطية والعثمانية، حيث يمكنك استكشاف الآبار القديمة، والمدافن المنقورة في الصخر، وبقايا المسجد التاريخي. تشكل الخربة اليوم محطة استثنائية لعشاق ""الهايكنج"" والسياحة البيئية بفضل مسارها الطبيعي المميز الذي يتيح لك الاستمتاع بالهواء النقي، وتأمل التلال الخضراء الخلابة، والتعرف على كرم الضيافة الريفية الأصيلة.","If you are seeking a unique eco-adventure that transports you into pristine nature and intriguing history, Khirbet Beit Jafa is your perfect getaway. Situated just southeast of the scenic village of Kafr Abbush in the Tulkarm Governorate, this ancient site holds remnants spanning the Roman, Byzantine, and Ottoman eras. Intrepid travelers can explore historic rock-cut tombs, old water cisterns, and the ruins of an ancient mosque nestled among the hills. Today, it stands as a prime destination for hikers and eco-tourists, offering dedicated trails where you can breathe in fresh air, photograph sweeping green valleys, and experience authentic Palestinian rural charm."
41,Bal'a Forests,Nature & Trails,Tulkarm,Low,Youth,Adventure,"The Bal'a Forests, in the Tulkarm governorate, are a wooded natural area popular for outdoor recreation.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,0,غابات بلعا,غابات بلعا في محافظة طولكرم منطقة طبيعية حرجية تحظى بشعبية للأنشطة الترفيهية الخارجية.,"The Bal'a Forests, in the Tulkarm governorate, are a wooded natural area popular for outdoor recreation."
