ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS,Place_Name_AR,Description_AR,Description_EN,Image_URL
13,Jenin Visitor's Center,Museum,Jenin,Medium,Family,Cultural,The Jenin Visitor's Center provides information and orientation for tourists exploring the city of Jenin and its surrounding sites.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,60,مركز زوار جنين,يقدم مركز زوار جنين معلومات وإرشادات للسياح الراغبين باستكشاف المدينة والمواقع المحيطة بها.,The Jenin Visitor's Center provides information and orientation for tourists exploring the city of Jenin and its surrounding sites.,http://www.asdaapress.com/Uploads/Image/2257791036215502752.JPG
14,Fatima Khatun School,Historic Old City,Jenin,Low,All,Cultural,"Fatima Khatun School is a historic Islamic educational institution in Jenin, part of a complex associated with a Mamluk or Ottoman-era benefactress.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,10,مدرسة فاطمة خاتون,مدرسة فاطمة خاتون مؤسسة تعليمية إسلامية تاريخية في جنين، جزء من مجمع يُنسب لإحدى المحسنات في العهد المملوكي أو العثماني.,"Fatima Khatun School is a historic Islamic educational institution in Jenin, part of a complex associated with a Mamluk or Ottoman-era benefactress.",https://scontent.fjrs9-1.fna.fbcdn.net/v/t1.6435-9/119871433_3209806569127104_5063229791317004421_n.jpg?stp=dst-jpg_tt6&cstp=mx2016x1512&ctp=s2016x1512&_nc_cat=111&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=833d8c&_nc_ohc=XGbJDcf-QkwQ7kNvwE4KU7x&_nc_oc=AdrByoCEde5vtLRfnGzdJ89gl083VwzZqOR-dvbP11cpMH-t_mFwwHgTN6EIE35a02g&_nc_zt=23&_nc_ht=scontent.fjrs9-1.fna&_nc_gid=IZnN7GFwZgUyjoUViThCvg&_nc_ss=7b2a8&oh=00_AQIAEBKdZLZSje3uiomY4Ni73x-Kb40TUcn2pfgoIRGVKg&oe=6AD7B1E3
15,"Fatima Khatun Mosque (Jenin Grand Mosque, The Great Mosque)",Religious,Jenin,Medium,All,Religious,"The Fatima Khatun Mosque, also known as the Jenin Grand Mosque, is the city's main historic mosque, part of a religious and educational endowment complex.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,30,مسجد فاطمة خاتون (الجامع الكبير في جنين),مسجد فاطمة خاتون، المعروف أيضاً بالجامع الكبير في جنين، هو المسجد التاريخي الرئيسي في المدينة وجزء من مجمع ديني وتعليمي.,"The Fatima Khatun Mosque, also known as the Jenin Grand Mosque, is the city's main historic mosque, part of a religious and educational endowment complex.",https://palinfo.com/wp-content/uploads/models/media/images/2017/6/5/-531518680.jpg
16,"Burqin Church (Saint George, Church of the Ten Lepers)",Religious,Jenin,Medium,All,Religious,"Burqin Church (St. George, Church of the Ten Lepers), in the village of Burqin near Jenin, is regarded as one of the oldest churches in the world, built at the traditional site where Jesus healed ten lepers.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,25,كنيسة برقين (القديس جاورجيوس، كنيسة العشرة البرص),كنيسة برقين، الواقعة في قرية برقين قرب جنين، تُعد من أقدم الكنائس في العالم، وبُنيت على الموقع الذي يُعتقد أن المسيح شفى فيه عشرة من البرص.,"Burqin Church (St. George, Church of the Ten Lepers), in the village of Burqin near Jenin, is regarded as one of the oldest churches in the world, built at the traditional site where Jesus healed ten lepers.",https://thumb.wikimedia.org/wikipedia/commons/thumb/4/42/%D9%83%D9%86%D9%8A%D8%B3%D8%A9_%D8%A8%D8%B1%D9%82%D9%8A%D9%86_%D8%A7%D9%84%D8%A3%D8%B1%D8%AB%D9%88%D8%B0%D9%83%D8%B3%D9%8A%D8%A9_%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%8A%D8%A9%D8%8C_%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%88%D9%81%D8%A9_%D8%A3%D9%8A%D8%B6%D9%8B%D8%A7_%D8%A8%D8%A7%D8%B3%D9%85_%D9%83%D9%86%D9%8A%D8%B3%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D8%B3_%D8%AC%D8%A7%D9%88%D8%B1%D8%AC%D9%8A%D9%88%D8%B3.jpg/500px-%D9%83%D9%86%D9%8A%D8%B3%D8%A9_%D8%A8%D8%B1%D9%82%D9%8A%D9%86_%D8%A7%D9%84%D8%A3%D8%B1%D8%AB%D9%88%D8%B0%D9%83%D8%B3%D9%8A%D8%A9_%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%8A%D8%A9%D8%8C_%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%88%D9%81%D8%A9_%D8%A3%D9%8A%D8%B6%D9%8B%D8%A7_%D8%A8%D8%A7%D8%B3%D9%85_%D9%83%D9%86%D9%8A%D8%B3%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D8%B3_%D8%AC%D8%A7%D9%88%D8%B1%D8%AC%D9%8A%D9%88%D8%B3.jpg?utm_source=ar.wikipedia.org&utm_campaign=index&utm_content=thumbnail
17,The Freedom Theater,Family/Recreational,Jenin,Medium,Youth,Family,"The Freedom Theatre, in the Jenin refugee camp, is a well-known community theatre and cultural center founded to give young Palestinians a creative outlet through drama and the arts.",32.463367,35.287232,OpenStreetMap Photon,Matched,35,مسرح الحرية,مسرح الحرية في مخيم جنين مركز ثقافي ومسرحي مجتمعي معروف، تأسس ليمنح الشباب الفلسطيني منفذاً إبداعياً عبر الدراما والفنون.,"The Freedom Theatre, in the Jenin refugee camp, is a well-known community theatre and cultural center founded to give young Palestinians a creative outlet through drama and the arts.",https://fromthecamp.com/wp-content/uploads/2021/09/A8806DC1-26EA-494F-AD11-39659C60F2B7-1024x769.png
18,Iraqi Army Martyrs Cemetery,Historic Old City,Jenin,Medium,All,Cultural,The Iraqi Army Martyrs Cemetery in Jenin honors Iraqi soldiers who fought in the 1948 Arab-Israeli war.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,40,مقبرة شهداء الجيش العراقي,تكرّم مقبرة شهداء الجيش العراقي في جنين الجنود العراقيين الذين شاركوا في حرب 1948.,The Iraqi Army Martyrs Cemetery in Jenin honors Iraqi soldiers who fought in the 1948 Arab-Israeli war.,https://palinfo.com/wp-content/uploads/models/media/old/oldimages/images2011/december/04/DSC_2294.JPG
19,The German Memorial,Historic Old City,Jenin,Low,All,Cultural,The German Memorial in Jenin commemorates German nationals or a German-linked historical episode connected to the area; visitors should verify specific historical context locally.,32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,15,النصب التذكاري الألماني,النصب التذكاري الألماني في جنين يُخلّد رعايا ألمان أو حدثاً تاريخياً مرتبطاً بألمانيا في المنطقة؛ يُنصح بالتحقق من السياق التاريخي محلياً.,The German Memorial in Jenin commemorates German nationals or a German-linked historical episode connected to the area; visitors should verify specific historical context locally.,https://scontent.fjrs9-1.fna.fbcdn.net/v/t39.30808-6/536571653_797248759308841_7511710966834348212_n.jpg?stp=dst-jpg_tt6&cstp=mx1024x1536&ctp=p526x296&_nc_cat=100&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=jKHP753xjxgQ7kNvwGGDph7&_nc_oc=AdoRnSwIQjC1BPMWt67V0SKNp-hG3cVKxVf9CF-ua0NDQ5tHrx6AZv-HelQ20cTG9xE&_nc_zt=23&_nc_ht=scontent.fjrs9-1.fna&_nc_gid=Q3Wh6kcjoMNm16xUVQl8eA&_nc_ss=7b2a8&oh=00_AQKPFsIzObB8TrWr76ufviHL6UM1YYyOif1FffKD0sRoSg&oe=6AB62BC2
20,Sheikh Sabi's Shrine,Religious,Jenin,Medium,All,Religious,"Sheikh Sabi's Shrine is a local Islamic shrine (maqam) in the Jenin area, venerated by area residents.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,55,مقام الشيخ صابي,مقام الشيخ صابي هو مقام إسلامي محلي في منطقة جنين، يحظى بتقدير أهالي المنطقة.,"Sheikh Sabi's Shrine is a local Islamic shrine (maqam) in the Jenin area, venerated by area residents.",https://scontent.fjrs9-1.fna.fbcdn.net/v/t1.6435-9/121625457_3729121233765028_3585732104207656914_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1365&ctp=s2048x1365&_nc_cat=102&_nc_map=urlgen_bucketless&ccb=1-7&_nc_sid=127cfc&_nc_ohc=q6uO8JnWHBMQ7kNvwE-rKwG&_nc_oc=Adrj3DDXWecLDSfjJOOrIdz4mQD1V6LSUfB3z7lJSR9RYpAswE_vLsJCkwPYtTbkxLs&_nc_zt=23&_nc_ht=scontent.fjrs9-1.fna&_nc_gid=sTmNkTmSYRAla-5jYb3Khg&_nc_ss=7b2a8&oh=00_AQJCGyIpOBgCPLpPpIwA6NW8xnfm-b6hn5Mc9Xdazn8YQQ&oe=6AD7AC7F
21,Jenin Museum of Folklore,Museum,Jenin,High,Family,Cultural,"The Jenin Museum of Folklore showcases traditional Palestinian rural life, costumes, and crafts from the Jenin district.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,115,متحف جنين للفنون الشعبية,يعرض متحف جنين للفنون الشعبية الحياة الريفية الفلسطينية التقليدية والأزياء والحرف اليدوية من محافظة جنين.,"The Jenin Museum of Folklore showcases traditional Palestinian rural life, costumes, and crafts from the Jenin district.",https://zreaf.com/file/attachs/276.jpg
22,Khirbat Bal'ame,Archaeological,Jenin,Low,Youth,Adventure,"Khirbat Bal'ame, near Jenin, is an important archaeological tell (mound) with remains spanning the Bronze Age through later periods, including an ancient underground water tunnel system.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,5,خربة بلعمة,خربة بلعمة قرب جنين موقع أثري مهم (تل) يضم بقايا تمتد من العصر البرونزي حتى فترات لاحقة، بما في ذلك نظام نفق مائي قديم تحت الأرض.,"Khirbat Bal'ame, near Jenin, is an important archaeological tell (mound) with remains spanning the Bronze Age through later periods, including an ancient underground water tunnel system.",https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/%D9%86%D9%81%D9%82_%D8%A8%D9%84%D8%B9%D9%85%D8%A9.jpg/1920px-%D9%86%D9%81%D9%82_%D8%A8%D9%84%D8%B9%D9%85%D8%A9.jpg?utm_source=ar.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
23,Church of Visitation,Religious,Jenin,Medium,All,Religious,"The Church of the Visitation, near Jenin, commemorates the biblical visit of Mary to her cousin Elizabeth.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,40,كنيسة الزيارة,كنيسة الزيارة قرب جنين تُخلّد زيارة مريم العذراء التوراتية لابنة عمها أليصابات.,"The Church of the Visitation, near Jenin, commemorates the biblical visit of Mary to her cousin Elizabeth.",https://peregabriel.com/saintamaria/wp-content/uploads/2024/06/ziara0.jpg
24,Khirbat Kharruba (Ruin),Archaeological,Jenin,Low,Youth,Adventure,"Khirbat Kharruba is an archaeological ruin site in the Jenin governorate, with limited detailed public documentation of its history.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,0,خربة خروبة (خربة),إذا كنت تبحث عن إطلالة تجمع بين عبق التاريخ وسحر مرج ابن عامر، فإن خربة خروبة المتربعة على هضبة شمال جنين هي وجهتك المثالية لتأمل الماضي. تأخذك الخربة في رحلة عبر الزمن لاستكشاف بقايا برج أثري ذي قاعدة مائلة، وجدران عتيقة تختبئ بينها مدافن صخرية، وكهوف، وصهاريج مياه قديمة تروي حكاية حضارات استوطنت هذا المرتفع الاستراتيجي. زيارة هذا الموقع تمنحك فرصة فريدة للابتعاد عن صخب المدينة، والتمتع بنزهة هادئة وسط الطبيعة، والتقاط صور مذهلة توثق التداخل الرائع بين الآثار المنسية والمساحات الخضراء الممتدة.,"If you are looking for a view that combines the whispers of history with the breathtaking charm of the Marj Ibn Amer valley, Khirbet Kharuba, perched on a scenic hill north of Jenin, is your ideal destination. This hidden archaeological gem invites travelers on a journey through time to explore the remains of an ancient watchtower with a sloped base, historical walls, rock-cut tombs, caves, and ancient water cisterns. A visit to Khirbet Kharuba offers a perfect peaceful escape from the bustling city, allowing you to enjoy a relaxing walk through nature and capture stunning photographs where timeless ruins seamlessly blend with sweeping green landscapes.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE_RSsHdXufEj92LajhzJKH9yUmtZSGgSObwxRbIMV4qNBwAHYyS_bM6qF&s=10
25,The shrine of the prophet Ilyas,Religious,Qalqilya,Medium,All,Religious,The Shrine of the Prophet Ilyas (Elijah) is a local Islamic shrine in the Qalqilya area venerated in connection with the prophet Elijah.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,25,مقام النبي إلياس,مقام النبي إلياس مقام إسلامي محلي في منطقة قلقيلية يُبجَّل ارتباطاً بالنبي إلياس.,The Shrine of the Prophet Ilyas (Elijah) is a local Islamic shrine in the Qalqilya area venerated in connection with the prophet Elijah.,https://arabi21.com/UP/%D9%85%D9%82%D8%A7%D9%85%20%D8%A7%D9%84%D9%86%D8%A8%D9%8A%20%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%20%D9%81%D9%8A%20%D9%82%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D9%86%D8%A8%D9%8A%20%D8%A5%D9%84%D9%8A%D8%A7%D8%B3%20%D9%81%D9%8A%20%D9%82%D8%B6%D8%A7%D8%A1%20%20%D9%82%D9%84%D9%82%D9%8A%D9%84%D9%8A%D8%A9.jpg
26,The prophet Simeon (son of Jacob),Historic Old City,Qalqilya,Low,All,Cultural,The shrine of the Prophet Simeon (son of Jacob) is a local Islamic and biblical shrine in the Qalqilya area associated with the biblical patriarch's son Simeon.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,5,النبي شمعون (ابن يعقوب),مقام النبي شمعون (ابن يعقوب) مقام إسلامي وتوراتي محلي في منطقة قلقيلية يرتبط بابن النبي يعقوب.,The shrine of the Prophet Simeon (son of Jacob) is a local Islamic and biblical shrine in the Qalqilya area associated with the biblical patriarch's son Simeon.,https://www.alzakiya.com/uploaded/essaysimages/small/lvl220171220110534.jpg
27,Khirbat Sufin (Ruin),Archaeological,Qalqilya,Low,Youth,Adventure,"Khirbat Sufin is an archaeological ruin site in the Qalqilya governorate, with limited detailed public documentation of its history.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,20,خربة سوفين (خربة),إذا كنت تبحث عن رحلة تجمع بين سحر التاريخ وعراقة الجذور، فإن حي وخربة صوفين عند مدخل قلقيلية الشرقي هي وجهتك المثالية. تتربع الخربة على تلة خضراء تمنحك إطلالة بانورامية رائعة، وتخفي بين جنباتها أسراراً تعود إلى العهد الروماني؛ حيث يمكنك استكشاف الكهوف الغامضة، والمدافن الصخرية القديمة، والأرضيات الفسيفسائية الملونة التي تروي حكاية قرون مضت. هنا، تلتقي حكايات القلاع العثمانية المندثرة بالحياة الحديثة النابضة، مما يجعلها محطة استثنائية لعشاق الاستكشاف والتصوير الفوتوغرافي الذين يبحثون عن قصص لم تروَ بعد.,"If you are searching for a journey that seamlessly blends the charm of ancient history with deep cultural roots, Khirbet Sufin, perched at the eastern gateway of Qalqilya, is your perfect destination. Nestled atop a scenic, rolling hill that offers breathtaking panoramic views, this hidden gem preserves secrets dating back to the Roman era. Here, adventurous travelers can explore mysterious caves, intricate rock-cut tombs, and beautiful mosaic floors that tell stories of centuries past. Khirbet Sufin is a captivating stop for history buffs, hikers, and photographers looking to capture the haunting beauty of a lost Ottoman-era fortress reborn into a vibrant, modern neighborhood.",https://www.travelpalestine.ps/public/files/image/destinations/qalqilya/%D8%B5%D9%88%D9%81%D9%8A%D9%86.jfif
