ID,Place_Name,type,City,Budget_Level,Age_Group,Trip_Type,Description,Latitude,Longitude,Coordinate_Source,Geocode_Status,Estimated_Cost_ILS
22,Khirbat Bal'ame,Archaeological,Jenin,Low,Youth,Adventure,"Khirbat Bal'ame, near Jenin, is an important archaeological tell (mound) with remains spanning the Bronze Age through later periods, including an ancient underground water tunnel system.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,5
23,Church of Visitation,Religious,Jenin,Medium,All,Religious,"The Church of the Visitation, near Jenin, commemorates the biblical visit of Mary to her cousin Elizabeth.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,40
24,Khirbat Kharruba (Ruin),Archaeological,Jenin,Low,Youth,Adventure,"Khirbat Kharruba is an archaeological ruin site in the Jenin governorate, with limited detailed public documentation of its history.",32.468789,35.296756,OpenStreetMap Photon (city centroid fallback),City-level,0
25,The shrine of the prophet Ilyas,Religious,Qalqilya,Medium,All,Religious,The Shrine of the Prophet Ilyas (Elijah) is a local Islamic shrine in the Qalqilya area venerated in connection with the prophet Elijah.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,25
26,The prophet Simeon (son of Jacob),Historic Old City,Qalqilya,Low,All,Cultural,The shrine of the Prophet Simeon (son of Jacob) is a local Islamic and biblical shrine in the Qalqilya area associated with the biblical patriarch's son Simeon.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,5
27,Khirbat Sufin (Ruin),Archaeological,Qalqilya,Low,Youth,Adventure,"Khirbat Sufin is an archaeological ruin site in the Qalqilya governorate, with limited detailed public documentation of its history.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,20
28,The site of the prophet Yameen,Historic Old City,Qalqilya,Low,All,Cultural,"The site of the Prophet Yameen (Benjamin) is a local shrine in the Qalqilya area associated with the biblical patriarch's youngest son, Benjamin.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,0
29,The Zoo,Family/Recreational,Qalqilya,High,Family,Family,"The Qalqilya Zoo is a small municipal zoo, notable as one of the few zoos in the Palestinian territories, popular with families.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,145
30,Mosque of Ali Ibn Abi Talib,Religious,Qalqilya,Medium,All,Religious,The Mosque of Ali Ibn Abi Talib is a local mosque in Qalqilya named after the fourth Islamic caliph and cousin of the Prophet Muhammad.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,55
31,The shrine of the sons of al-Awwam,Religious,Qalqilya,Medium,All,Religious,The shrine of the sons of al-Awwam is a local Islamic shrine in the Qalqilya area.,32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,40
32,The old town of Jinsafut,Historic Old City,Qalqilya,Low,All,Cultural,"The old town of Jinsafut, in the Qalqilya governorate, retains historic Ottoman-era architecture and a traditional village core.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,10
33,The Roman Pools - Sanniriya,Archaeological,Qalqilya,Low,Youth,Adventure,"The Roman Pools at Sanniriya, in the Qalqilya governorate, are ancient water reservoirs dating to the Roman period.",32.190557,34.966009,OpenStreetMap Photon (city centroid fallback),City-level,20
34,The Shrine of Jacob's Daughters,Religious,Tulkarm,Medium,All,Religious,The Shrine of Jacob's Daughters is a local Islamic and biblical shrine in the Tulkarm governorate.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,55
35,Shufa Village,Historic Old City,Tulkarm,Low,Family,Cultural,"Shufa Village, in the Tulkarm governorate, is a small Palestinian village known for its traditional agricultural landscape.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,10
36,Tel Al-Ras - Shuweika,Archaeological,Tulkarm,Low,Youth,Adventure,"Tel Al-Ras, in Shuweika near Tulkarm, is an archaeological mound (tell) containing remains from multiple historical periods.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,5
37,Roman stone quarry - Beit Lid,Archaeological,Tulkarm,Low,Youth,Adventure,"The Roman stone quarry at Beit Lid, in the Tulkarm governorate, contains remains of ancient stone-cutting activity from the Roman period.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,15
38,Al-Bad - Beit Lid,Historic Old City,Tulkarm,Low,All,Cultural,Al-Bad (traditional olive press) in Beit Lid is a historic stone olive-oil pressing facility reflecting the region's long agricultural heritage.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,0
39,Khirbet Samara,Archaeological,Tulkarm,Low,Youth,Adventure,"Khirbet Samara is an archaeological ruin site in the Tulkarm governorate, with limited detailed public documentation of its history.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,10
40,Khirbet Beit Jafa,Archaeological,Tulkarm,Low,Youth,Adventure,"Khirbet Beit Jafa is an archaeological ruin site in the Tulkarm governorate, with limited detailed public documentation of its history.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,5
41,Bal'a Forests,Nature & Trails,Tulkarm,Low,Youth,Adventure,"The Bal'a Forests, in the Tulkarm governorate, are a wooded natural area popular for outdoor recreation.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,0
42,The Cultural Center for Child Development,Family/Recreational,Tulkarm,Medium,Family,Family,"The Cultural Center for Child Development, in the Tulkarm area, offers educational and cultural programming for children.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,60
43,Mamluk Mosque - Beit Lid,Religious,Tulkarm,Medium,All,Religious,The Mamluk Mosque in Beit Lid is a historic mosque dating to the Mamluk period.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,25
44,Tel Al-Tlul,Archaeological,Tulkarm,Low,Youth,Adventure,Tel Al-Tlul is an archaeological mound (tell) in the Tulkarm governorate.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,20
45,Nirba,Historic Old City,Tulkarm,Low,All,Cultural,Nirba is a rural site in the Tulkarm governorate.,32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,10
46,The pottery factory,Historic Old City,Tulkarm,Medium,All,Cultural,"The pottery factory, in the Tulkarm area, reflects the region's traditional ceramics and craft industry.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,25
47,The Roman Bathhouse,Archaeological,Tulkarm,Medium,Youth,Adventure,"The Roman Bathhouse, in the Tulkarm governorate, contains remains of an ancient Roman-period bathing facility.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,25
48,The Grape Press,Historic Old City,Tulkarm,Low,All,Cultural,"The Grape Press, in the Tulkarm governorate, is a historic stone installation used for traditional grape pressing.",32.313376,35.022438,OpenStreetMap Photon (city centroid fallback),City-level,0
49,Nisf Jubeil,Historic Old City,Nablus,Low,All,Cultural,Nisf Jubeil is a rural locality in the Nablus governorate.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10
50,"Al-Hijaz Railway (Al-Masudiyya)- Burqa, Nablus",Historic Old City,Nablus,Low,All,Cultural,"The Al-Hijaz Railway station (Al-Masudiyya) in Burqa, near Nablus, is a remnant of the early 20th-century Ottoman railway line that once connected Damascus to Medina.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,15
51,Sebastia,Historic Old City,Nablus,Low,All,Cultural,"Sebastia, near Nablus, is one of Palestine's most significant archaeological sites, home to the ruins of the ancient city of Samaria, capital of the biblical Kingdom of Israel and later rebuilt by Herod the Great as a grand Roman city.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5
52,"Church of Saint John the Baptist or Mosque of Yahya, Sebastia",Religious,Nablus,Medium,All,Religious,The Church of St. John the Baptist (also used as the Mosque of Yahya) in Sebastia is a Crusader-era church traditionally built over the site where John the Baptist's head was said to be buried.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,50
53,Roman Colonnaded Street,Archaeological,Nablus,Low,Youth,Adventure,"The Roman Colonnaded Street in Sebastia is a well-preserved avenue lined with columns, part of the ancient Roman city built under Herod the Great.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5
54,Roman Amphitheater of Sebastia (Anfiteatro Romano Sebastia),Archaeological,Nablus,Medium,Youth,Adventure,"The Roman Amphitheater of Sebastia is one of the archaeological highlights of the ancient city, used for public spectacles in the Roman period.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25
55,Forum and the Basilica,Historic Old City,Nablus,Medium,All,Cultural,The Forum and Basilica of Sebastia were the ancient city's central civic and administrative buildings during the Roman period.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,35
56,The Stadium,Family/Recreational,Nablus,Medium,Family,Family,The Stadium at Sebastia was used for athletic and public events in the Roman-era city.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
57,Temple of Augstus,Historic Old City,Nablus,Medium,All,Cultural,"The Temple of Augustus at Sebastia was a monumental temple built by Herod the Great in honor of the Roman emperor Augustus, standing atop the acropolis of ancient Samaria.",32.27661,35.189021,OpenStreetMap Photon,Matched,35
58,Tourism Interpretation Center,Historic Old City,Nablus,High,All,Cultural,The Tourism Interpretation Center at Sebastia provides visitor orientation and historical context for the archaeological site.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,95
59,The Shrine of the Prophet Yahya (John the Baptist),Religious,Nablus,Medium,All,Religious,The Shrine of the Prophet Yahya (John the Baptist) in Sebastia is venerated by Muslims as the traditional burial site of John the Baptist's head.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,35
60,Sebastia Archaeological Museum,Archaeological,Nablus,High,Family,Adventure,The Sebastia Archaeological Museum displays artifacts recovered from excavations of the ancient city.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,135
61,Al-Kayed Palace,Historic Old City,Nablus,Medium,Family,Cultural,"Al-Kayed Palace, in Sebastia, is a historic Ottoman-era residence.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,55
62,The Shrine of Sheikh Sha'la or Shu'ala,Religious,Nablus,Medium,All,Religious,The Shrine of Sheikh Sha'la (Shu'ala) is a local Islamic shrine in the Sebastia/Nablus area.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
63,Al-Badhan Village,Historic Old City,Nablus,Low,Family,Cultural,"Al-Badhan Village, near Nablus, is known for its natural spring and picturesque valley setting, popular for day trips.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10
64,The Shrine of Joseph (Yusuf),Religious,Nablus,Medium,All,Religious,"The Shrine of Joseph (Yusuf), near Nablus, is venerated in Islamic, Christian, and Jewish tradition as associated with the biblical patriarch Joseph.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25
65,The Roman Amphitheater,Archaeological,Nablus,Medium,Youth,Adventure,The Roman Amphitheater (Nablus area) contains remains of an ancient Roman entertainment structure.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,60
66,The Roman Hippodrome,Archaeological,Nablus,Medium,Youth,Adventure,"The Roman Hippodrome, near Nablus, was an ancient venue for chariot races and public events.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
67,Khan Al-Wakalah,Historic Old City,Nablus,Low,All,Cultural,"Khan Al-Wakalah is a historic Ottoman-era caravanserai in Nablus's Old City, once used to house traveling merchants and their goods.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5
68,The Old Rafidia Mosque,Religious,Nablus,Medium,All,Religious,The Old Rafidia Mosque is a historic mosque in the Rafidia quarter of Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,60
69,Jacob's Well Church,Religious,Nablus,Medium,All,Religious,"Jacob's Well Church, near Nablus, is a Greek Orthodox church built over the biblical well traditionally identified as the site where Jesus spoke with the Samaritan woman.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,30
70,Jupiter temple on Tel Al-Ras,Archaeological,Nablus,Medium,Youth,Adventure,"The Jupiter Temple on Tel al-Ras, near Nablus, contains the remains of a Roman-period temple dedicated to Jupiter, built atop the sacred summit of Mount Gerizim.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,35
71,Al-Khadra Mosque or Hizn Sidna Yaq'ub Mosque,Religious,Nablus,Medium,All,Religious,Al-Khadra Mosque (Hizn Sidna Yaq'ub Mosque) in Nablus is associated with the tradition of the patriarch Jacob's grief.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,30
72,"Shechem - The Canaanite City, Tel - Balata",Archaeological,Nablus,Low,Youth,Adventure,"Tel Balata (ancient Shechem) is a major archaeological site near Nablus, the remains of a Canaanite city dating back nearly 4,000 years and mentioned repeatedly in biblical texts.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20
73,The Western Roman Cemetery,Archaeological,Nablus,Medium,Youth,Adventure,"The Western Roman Cemetery, near Nablus, contains ancient burial remains from the Roman period.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
74,The Roman Theater,Archaeological,Nablus,Medium,Youth,Adventure,"The Roman Theater, near Nablus, contains remains of an ancient Roman-period theater.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,50
75,Great Mosque of Nablus - Al-Salahi Mosque,Religious,Nablus,Medium,All,Religious,"The Great Mosque of Nablus (Al-Salahi Mosque) is one of the city's principal historic mosques, with origins tracing back to a Byzantine-era church later converted into a mosque.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
76,The Roman Colonnaded Street,Archaeological,Nablus,Low,Youth,Adventure,The Roman Colonnaded Street (Nablus) contains remains of an ancient Roman-era thoroughfare lined with columns.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,0
77,The Latin Church,Religious,Nablus,Medium,All,Religious,"The Latin Church, in Nablus, is a historic Roman Catholic church serving the city's Christian community.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45
78,An-Nasr Mosque,Religious,Nablus,Medium,All,Religious,An-Nasr Mosque is a historic mosque in Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25
79,The Manara Clock Tower and Bab Al-Saha (Quarter of Nablus),Historic Old City,Nablus,Medium,All,Cultural,"The Manara Clock Tower and Bab Al-Saha mark a historic landmark and gateway quarter in Nablus's Old City, the clock tower built in the early 20th century under Ottoman rule.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45
80,Ras Al-Ein,Historic Old City,Nablus,Low,All,Cultural,"Ras Al-Ein, in Nablus, is a historic spring and water source that has served the city for centuries.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,15
81,Abd Al-Hadi Palace,Historic Old City,Nablus,Medium,Family,Cultural,"Abd Al-Hadi Palace, in Nablus, is a historic Ottoman-era residence built by the prominent Abd al-Hadi family.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25
82,Tel Sufar - Sufan,Archaeological,Nablus,Low,Youth,Adventure,Tel Sufar (Sufan) is an archaeological mound (tell) near Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5
83,The Old Town of Nablus,Historic Old City,Nablus,Low,All,Cultural,"The Old Town of Nablus is a historic quarter known for its Ottoman-era architecture, narrow alleyways, traditional soap factories, and famous kunafa sweets shops.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20
84,Samaritan Museum,Museum,Nablus,High,Family,Cultural,"The Samaritan Museum, near Nablus, showcases the history, religion, and traditions of the Samaritan community, one of the world's smallest and oldest religious minorities.",32.203624,35.270345,OpenStreetMap Photon,Matched,145
85,Ein Qarioun (Spring),Nature & Trails,Nablus,Low,Youth,Adventure,"Ein Qarioun is a natural spring near Nablus, a local recreational spot.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10
86,Sama Nablus Park,Nature & Trails,Nablus,Low,Family,Adventure,Sama Nablus Park is a recreational green space in Nablus popular with families.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20
87,Mount Gerizim and the Samaritan Sect.,Nature & Trails,Nablus,Low,Youth,Adventure,"Mount Gerizim, overlooking Nablus, is the holiest site of the Samaritan religion, home to the small remaining Samaritan community and the site of their annual Passover sacrifice.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5
88,Virgin Mary's Church (Mount Gerizim),Religious,Nablus,Low,All,Religious,The Virgin Mary's Church on Mount Gerizim is a Christian church associated with the mountain's religious significance.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,0
89,The Monastery of Bir El-Hamam,Religious,Nablus,Medium,All,Religious,"The Monastery of Bir El-Hamam, near Nablus, is a historic monastic site.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
90,Wadi Al-Tuffah (Apple Valley) and the Water Mills,Nature & Trails,Nablus,Low,Youth,Adventure,"Wadi Al-Tuffah (Apple Valley), near Nablus, is a scenic valley historically home to traditional water mills powered by natural springs.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20
91,Rafidia Village,Historic Old City,Nablus,Low,Family,Cultural,Rafidia Village (now a Nablus neighborhood) retains historic character within the growing city.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20
92,The Olive Press (Al-Bad) and the Dar Al Dawani,Historic Old City,Nablus,Low,All,Cultural,"The Olive Press (Al-Bad) and Dar Al-Dawani, in Nablus, are historic facilities reflecting the city's long-standing olive oil and soap-making industries.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10
93,Men Column Shrine in Nablus,Religious,Nablus,Medium,All,Religious,"The Men Column Shrine, in Nablus, is a local historic monument.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,55
94,The Eastern Roman Cemetery (The Askar Mausoleum),Archaeological,Nablus,Medium,Youth,Adventure,"The Eastern Roman Cemetery (Askar Mausoleum), near Nablus, contains ancient Roman-period burial remains.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
95,The Shrine of Mujir Al-Din,Religious,Nablus,Medium,All,Religious,"The Shrine of Mujir Al-Din, in Nablus, honors the noted 15th-century historian and scholar of Jerusalem and Hebron.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
96,Tomb of Sheikh Ghanem (Gerizim),Religious,Nablus,Medium,All,Religious,"The Tomb of Sheikh Ghanem, on Mount Gerizim, is a local Islamic shrine.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,40
97,Al-Saqaya Standpipe,Historic Old City,Nablus,Low,All,Cultural,"Al-Saqaya Standpipe, in Nablus's Old City, is a historic public water fountain.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,5
98,Braik Mill (Abdul Haqq Soap Factory),Historic Old City,Nablus,Medium,All,Cultural,"Braik Mill (Abdul Haqq Soap Factory), in Nablus, is a historic facility tied to the city's traditional olive-oil soap industry.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45
99,Al-Tubani Corner (Al-Sheikh Nazmi Okal's Corner),Historic Old City,Nablus,Low,All,Cultural,"Al-Tubani Corner, in Nablus's Old City, is a historic architectural landmark associated with the Sheikh Nazmi Okal family.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,0
100,Al-Satoun Mosque,Religious,Nablus,Medium,All,Religious,Al-Satoun Mosque is a historic mosque in Nablus's Old City.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,30
101,Hosh Al-Atout (Quarter),Historic Old City,Nablus,Low,All,Cultural,"Hosh Al-Atout is a historic residential quarter within Nablus's Old City, characteristic of the city's traditional courtyard-house architecture.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,10
102,The Western Hanbali Mosque,Religious,Nablus,Medium,All,Religious,The Western Hanbali Mosque is a historic mosque in Nablus associated with the Hanbali school of Islamic jurisprudence.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20
103,Al-Nimr Palace,Historic Old City,Nablus,Medium,Family,Cultural,"Al-Nimr Palace, in Nablus, is a historic Ottoman-era residence built by the prominent al-Nimr family.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25
104,An-Najah Centenary Museum,Museum,Nablus,High,Family,Cultural,"The An-Najah Centenary Museum, at An-Najah National University, commemorates the institution's history and development.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,110
105,The Shrine of Sheikh Musallam,Religious,Nablus,Medium,All,Religious,The Shrine of Sheikh Musallam is a local Islamic shrine in Nablus.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,20
106,Khan Al-Tujjar (Fabric Market),Historic Old City,Nablus,Medium,Youth,Cultural,Khan Al-Tujjar (Fabric Market) is a historic Ottoman-era commercial market in Nablus's Old City.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45
107,Touqan Palace,Historic Old City,Nablus,Medium,Family,Cultural,"Touqan Palace, in Nablus, is a historic Ottoman-era residence built by the prominent Touqan family, one of the city's leading notable families.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,45
108,Hammam Al-Shifa (The new bathhouse),Historic Old City,Nablus,Medium,All,Cultural,Hammam Al-Shifa is a historic Ottoman-era bathhouse in Nablus's Old City.,32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,55
109,Al-Bader Soap Factory,Historic Old City,Nablus,Medium,All,Cultural,"The Al-Bader Soap Factory, in Nablus, is a historic olive-oil soap production facility, part of the city's centuries-old soap-making heritage.",32.228066,35.237042,OpenStreetMap Photon (city centroid fallback),City-level,25
110,Rassassi Mosque and Al Mawardyah School,Religious,Jerusalem,Medium,All,Religious,Rassassi Mosque and Al-Mawardiyya School form a historic Islamic religious and educational complex within Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
111,Al Khanaqah Al-Salahiyya,Historic Old City,Jerusalem,Low,All,Cultural,"Al-Khanaqah Al-Salahiyya is a Sufi lodge (khanqah) in Jerusalem's Old City, founded during the Ayyubid period associated with Salah al-Din.",31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,20
112,Maqam Sittunshuq,Religious,Jerusalem,Low,All,Religious,Maqam Sittunshuq is a small historic Islamic shrine (maqam) in Jerusalem's Old City.,31.695506,35.187508,OpenStreetMap Photon (city centroid fallback),City-level,0
